"","EPX","IMD","Ratio"
"1",0,0.468579619703238,0
"2",42.473876922647,0.351434714777428,0.333333333333333
"3",84.947753845294,0.234289809851619,1
"4",127.421630767941,0.11714490492581,3
"5",169.895507690588,0,Inf
"6",0,0.00263501684301109,0
"7",0.238848162346531,0.00197626263225832,0.333333333333333
"8",0.477696324693062,0.00131750842150554,1
"9",0.716544487039593,0.000658754210752772,3
"10",0.955392649386124,0,Inf
"11",0,0.0263501684301109,0
"12",2.38848162346531,0.0197626263225832,0.333333333333333
"13",4.77696324693062,0.0131750842150554,1
"14",7.16544487039593,0.00658754210752772,3
"15",9.55392649386124,0,Inf
"16",0,0.148177886339774,0
"17",13.4314192133228,0.111133414754831,0.333333333333333
"18",26.8628384266456,0.0740889431698872,1
"19",40.2942576399684,0.0370444715849436,3
"20",53.7256768532912,0,Inf
"21",0,0.263501684301109,0
"22",23.8848162346531,0.197626263225831,0.333333333333333
"23",47.7696324693062,0.131750842150554,1
"24",71.6544487039593,0.0658754210752772,3
"25",95.5392649386124,0,Inf
"26",0,0.833265489682137,0
"27",75.5304207960705,0.624949117261603,0.333333333333333
"28",151.060841592141,0.416632744841068,1
"29",226.591262388212,0.208316372420534,3
"30",302.121683184282,0,Inf
"31",0,1.48177886339774,0
"32",134.314192133228,1.11133414754831,0.333333333333333
"33",268.628384266456,0.740889431698872,1
"34",402.942576399684,0.370444715849436,3
"35",537.256768532911,0,Inf
