ID_square;Date_prelvt;Habitat;ID_plot;ID_traps;OF;dose_EPX;trt_EPX;dose_DFL;trt_DFL;dose_IMD;trt_IMD;unites;Commentaires
10902;05/04/2016;C;7216;10902C;n;5.113636364;nt;0.465178097;tt;8.938064859;tt;ngl;Pas d'infos sur les traitements
11188;01/04/2016;C;7855;11188C;n;119.038585;nt;3.523847589;tt;57.17759126;tt;ngl;Pas d'infos sur les traitements
11195;01/04/2016;C;7795;11195C;n;2.826666667;nt;0;tt;4.696666667;tt;ngl;Pas d'infos sur les traitements
11759;05/04/2016;C;15845;11759C;n;0;nt;13.80364023;tt;0;tt;ngl;Pas d'infos sur les traitements
14993;;C;10542;14993C;n;8.290034639;nt;0;tt;10.73;tt;ngl;Pas d'infos sur les traitements
15381;29(V)+30(S)/03/2016;C;10624;15381C;n;117.8585697;nt;587.8279398;tt;30.24703689;tt;ngl;Pas d'infos sur les traitements
18147;29/03/2016;C;11809;18147C;n;56.66001331;nt;0;tt;2.854291417;tt;ngl;Pas d'infos sur les traitements
19147;29/03/2016;C;12076;19147C;n;43.01279488;nt;0.253232041;tt;7.467013195;tt;ngl;Pas d'infos sur les traitements
2087;04/04/2016;C;394;2087C;n;107.7414206;nt;0.711625432;tt;10.31191806;tt;ngl;Pas d'infos sur les traitements
5096;30/03/2016;C;7411;5096C;n;182.4416692;nt;8.106523853;tt;50.01465436;tt;ngl;Pas d'infos sur les traitements
5103;30/03/2016;C;15899;5103C;n;220.5393915;nt;23.04703069;tt;4.241397635;tt;ngl;Pas d'infos sur les traitements
8905;05/04/2016;C;5459;8905C;n;19.23946284;nt;175.9406994;tt;9.496742454;tt;ngl;Pas d'infos sur les traitements
12184;01/04/2016;C;8592;12184C;y;43.19178628;nt;4.153375864;tt;4.545454545;tt;ngl;
8544;04(V)+7(S)/04/2016;C;13380;8544C;y;7.214228617;nt;0.226485478;tt;2.114974687;tt;ngl;
1926;04/04/2016;C;290;1926C;n;138.4592658;tt;281.9043711;nt;17.5394929;nt;ngl;
2756;04/04/2016;C;755;2756C;n;282.9726853;tt;137.268611;tt;29.94739646;nt;ngl;
2958;30/03/2016;C;971;2958C;n;11.4008793;tt;151.3122835;nt;1.881827871;nt;ngl;
4256;08 (S)+4(V)/04/2016;C;10972;4256C;y;2.154942712;nt;0.939248601;tt;0.689448441;tt;ngl;
4417;04/04/2016;C;1285;4417C;n;43.95424837;tt;428.9589977;nt;35.6142457;nt;ngl;
4629;30/03/2016;C;1017;4629C;n;34.55520043;tt;114.3294713;nt;10.3043015;nt;ngl;
4899;04(V)+7(S)/04/2016;C;1765;4899C;n;29.95746943;tt;638.4586875;nt;26.38556619;nt;ngl;
5581;08 (S)+4(V)/04/2016;C;2323;5581C;n;2.396166134;nt;752.2075874;nt;8.985623003;nt;ngl;
6238;04(V)+7(S)/04/2016;C;2684;6238C;y;4.901569566;nt;0;tt;0.891194467;tt;ngl;
6266;30/03/2016;C;2516;6266C;n;13.72666667;tt;218.1333333;nt;20.17333333;nt;ngl;
6450;30/03/2016;C;3051;6450C;n;0;tt;16.55688623;tt;6.896207585;nt;ngl;
6696;04(V)+7(S)/04/2016;C;3222;6696C;n;0;nt;22.80596617;tt;18.34132374;nt;ngl;
7020;04(V)+7(S)/04/2016;C;3967;7020C;n;74.32612757;tt;589.1629708;nt;22.52468642;nt;ngl;
7622;30/03/2016;C;4122;7622C;n;58.05355715;tt;12.7131628;tt;56.05848654;nt;ngl;
7777;30/03/2016;C;4201;7777C;n;87.80357619;nt;17.83426741;tt;22.44128636;tt;ngl;
8064;04(V)+7(S)/04/2016;C;4759;8064C;n;45.58353317;tt;28.54050093;tt;2.857713829;tt;ngl;
8268;30/03/2016;C;4670;8268C;n;116.8597683;tt;75.70914902;tt;11.0201092;nt;ngl;
8531;04(V)+7(S)/04/2016;C;5277;8531C;n;31.21084899;tt;1360.747076;nt;14.51752632;nt;ngl;
9172;06/04/2016;C;5867;9172C;n;151.0688317;tt;66.73320027;tt;54.30139721;nt;ngl;
9201;04(V)+7(S)/04/2016;C;5590;9201C;n;0;tt;819.9943318;tt;15.10832004;nt;ngl;
9662;06/04/2016;C;13235;9662C;n;10.88666667;nt;5.29;nt;12.24;nt;ngl;
9710;04(V)+7(S)/04/2016;C;5937;9710C;y;10.53190078;nt;0;tt;0.659901844;tt;ngl;
9743;05/04/2016;C;5911;9743C;n;14.52931791;nt;132.6951203;nt;29.17497673;nt;ngl;
9842;06/04/2016;C;6412;9842C;n;15.98082301;tt;45.58862698;nt;16.8264749;nt;ngl;
10397;05/04/2016;C;7041;10397C;n;56.34253701;tt;680.8390023;nt;14.66920101;nt;ngl;
10417;05/04/2016;C;6987;10417C;n;14.57417033;nt;443.4716858;tt;13.49127016;nt;ngl;
10834;06/04/2016;C;7598;10834C;n;58.85271008;nt;179.2023776;nt;75.2097483;tt;ngl;
10868;01/04/2016;C;7594;10868C;n;0;nt;0.446131309;nt;9.488613664;nt;ngl;
11006;06/04/2016;C;7522;11006C;n;42.23748838;tt;1319.401917;tt;74.30638524;nt;ngl;
11434;05/04/2016;C;7419;11434C;n;128.2461047;tt;727.9719764;nt;20.45212412;nt;ngl;
11879;29(V)+30(S)/03/2016;C;8344;11879C;y;0;nt;0;tt;0;tt;ngl;
12167;06/04/2016;C;8752;12167C;n;111.994261;nt;611.4995339;nt;4.151684645;tt;ngl;
12202;29(V)+30(S)/03/2016;C;8571;12202C;n;52.40096038;tt;1070.794985;nt;16.70334801;nt;ngl;
12489;06/04/2016;C;12956;12489C;n;6.10712387;nt;6.024056353;tt;1.129718235;tt;ngl;
12688;01/04/2016;C;8910;12688C;y;4.735682819;nt;0;tt;7.682552396;tt;ngl;
12713;29(V)+30(S)/03/2016;C;9237;12713C;n;133.6713155;tt;371.3088587;nt;63.20830008;nt;ngl;
12872;29(V)+30(S)/03/2016;C;9192;12872C;n;11.47371923;nt;387.0924817;nt;19.63073852;nt;ngl;
13547;29(V)+30(S)/03/2016;C;9852;13547C;n;24.54036771;tt;243.6651248;nt;56.79123368;nt;ngl;
13749;05/04/2016;C;15350;13749C;n;26.57747604;nt;408.1802449;tt;27.8920394;nt;ngl;
13985;06/04/2016;C;14145;13985C;n;6.594724221;nt;29.0034639;tt;11.00119904;tt;ngl;
14166;06/04/2016;C;10227;14166C;n;12.46171261;nt;199.2941803;nt;6.408975896;tt;ngl;
14380;29(V)+30(S)/03/2016;C;10251;14380C;n;47.2565842;nt;120.2114924;nt;1.832269221;tt;ngl;
14385;29(V)+30(S)/03/2016;C;10138;14385C;n;72.97495337;tt;110.8446576;tt;11.81055156;nt;ngl;
14575;05/04/2016;C;562;14575C;n;10.62874251;nt;205.0898204;nt;20.5156354;tt;ngl;
15164;06/04/2016;C;10628;15164C;n;117.2541157;nt;722.355449;tt;15.23780975;tt;ngl;
17153;29/03/2016;C;11456;17153C;n;23.13482547;nt;910.0386358;tt;119.207967;tt;ngl;
